Institution,State,District,Type,DataDepth,Department,ResearchAreas,SourceVerified
"Shri Sai Pharmacy College, Durg",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 152) | Department classified from CSVTU pharmacy listing category
"Disha College of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 153) | Department classified from CSVTU pharmacy listing category
"Pushpendra College of Pharmacy, Surguja",Chhattisgarh,Surguja,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 154) | Department classified from CSVTU pharmacy listing category
"Institute of Pharmacy Research Centre, Surajpur",Chhattisgarh,Surajpur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 155) | Department classified from CSVTU pharmacy listing category
"Maitri College of Pharmay, Anjora",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 156) | Department classified from CSVTU pharmacy listing category
"Career College of Pharmacy, Raigarh",Chhattisgarh,Raigarh,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 157) | Department classified from CSVTU pharmacy listing category
"Bhilai Institue of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 158) | Department classified from CSVTU pharmacy listing category
"LCIT College of Pharmacy, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 159) | Department classified from CSVTU pharmacy listing category
"Hrishikesh College of Pharmaceutical and Research Institute, Bastar",Chhattisgarh,Bastar,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 160) | Department classified from CSVTU pharmacy listing category
"Jagrani Devi Pharmacy College, Baradwar, District- Sakti",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 161) | Department classified from CSVTU pharmacy listing category
"Atharva College of Pharmacy, Dhanora, Durg",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 162) | Department classified from CSVTU pharmacy listing category
"Prerna College of Pharmacy, Devbhog Road, Gariyaband",Chhattisgarh,Gariaband,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 163) | Department classified from CSVTU pharmacy listing category
"Mona Cllege of Pharmacy, Sarangarh",Chhattisgarh,Raigarh,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 164) | Department classified from CSVTU pharmacy listing category
"Gyanroshani College of Pharmacy, Janjgir",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 165) | Department classified from CSVTU pharmacy listing category
"Keshri College of Pharmacy, Janjgir-Chmpa",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 166) | Department classified from CSVTU pharmacy listing category
"DLS Pharmacy College, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 167) | Department classified from CSVTU pharmacy listing category
"Trimurty Pharmacy College, Mungeli",Chhattisgarh,Mungeli,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 168) | Department classified from CSVTU pharmacy listing category
"GLD Institute of Pharmaceutical Science, Nawagarh",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 169) | Department classified from CSVTU pharmacy listing category
"IPS Pharmacy College, Ratanpur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 170) | Department classified from CSVTU pharmacy listing category
"GP Gupta Pharmacy College, Rahod",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 172) | Department classified from CSVTU pharmacy listing category
"Sanskriti Institute of Pharmaceutical Science & Technology, Janjgir-Champa",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 173) | Department classified from CSVTU pharmacy listing category
"DBM Institute of Pharmacy, Pithampur",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 174) | Department classified from CSVTU pharmacy listing category
"Yugantar Institute of Pharmacy, Rajnandgaon",Chhattisgarh,Rajnandgaon,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 176) | Department classified from CSVTU pharmacy listing category
"Triveni College of Pharmacy, Akaltara",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 177) | Department classified from CSVTU pharmacy listing category
"Apex Institute of Pharmacy Education & Research, Raigarh",Chhattisgarh,Raigarh,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 178) | Department classified from CSVTU pharmacy listing category
"National Institute of Pharmaceutical Science & Research, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 179) | Department classified from CSVTU pharmacy listing category
"Nupoor College of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 180) | Department classified from CSVTU pharmacy listing category
"Maa Mangla College of Pharmacy, Raigarh",Chhattisgarh,Raigarh,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 181) | Department classified from CSVTU pharmacy listing category
"Unique Institute of Pharmacy & Research, Janjgir",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 182) | Department classified from CSVTU pharmacy listing category
"Gurukripa Pharmacy College, Bilaspur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 183) | Department classified from CSVTU pharmacy listing category
"Hrishikesh Institute of Pharmacy, Raipur",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 184) | Department classified from CSVTU pharmacy listing category
"Aryavart Pharmacy College, Durg",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 185) | Department classified from CSVTU pharmacy listing category
"Gracious College of Pharmacy, Kabirdham",Chhattisgarh,Kawardha,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 186) | Department classified from CSVTU pharmacy listing category
"Riyansh College of Pharmacy, Lakhanpur",Chhattisgarh,Surguja,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 187) | Department classified from CSVTU pharmacy listing category
"Mansa Pharmacy College, Bhilai",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 188) | Department classified from CSVTU pharmacy listing category
"Leela Devi College of Pharmacy, Durg",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 189) | Department classified from CSVTU pharmacy listing category
"Sanjivani Institute of Pharmacy-II, Takhatpur",Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 190) | Department classified from CSVTU pharmacy listing category
"Shyam Balaji College of Pharmacy, Mahasamund",Chhattisgarh,Mahasamund,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 191) | Department classified from CSVTU pharmacy listing category
"Shri Balaji Institute of Pharmacy Research Centre, Raipur",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 193) | Department classified from CSVTU pharmacy listing category
"R N Dubey College of Pharmacy, Janjgir-Champa",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 195) | Department classified from CSVTU pharmacy listing category
Chhattisgarh Pharmacy College,Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 197) | Department classified from CSVTU pharmacy listing category
"C M Dubey Post Graduate College, Bilaspur",Chhattisgarh,Bilaspur,college,shallow,,,Verified — CSVTU official affiliated institutes list (Code 198)
"Dipti Institute of Pharmacy, Surajpur",Chhattisgarh,Surajpur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 204) | Department classified from CSVTU pharmacy listing category
"Sonkar College of Pharmacy, Mungeli",Chhattisgarh,Mungeli,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 205) | Department classified from CSVTU pharmacy listing category
Swami Vivekanand Institute of Pharmacy & Research,Chhattisgarh,Bilaspur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 206) | Department classified from CSVTU pharmacy listing category
"Government Polytechnic, Kurud",Chhattisgarh,Dhamtari,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 207) | Department classified from CSVTU polytechnic listing category
"Chhattisgarh Institute of Technology, Jagdalpur",Chhattisgarh,Bastar,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 211)
"MAHARANA PRATAP COLLEGE OF PHARMACY,RAIPUR",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 212) | Department classified from CSVTU pharmacy listing category
"APAAR COLLEGE OF PHARMACY,JASHPUR",Chhattisgarh,Jashpur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 213) | Department classified from CSVTU pharmacy listing category
"SRI ONKAR COLLEGE OF PHARMACY, RAIPUR",Chhattisgarh,Raipur,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 214) | Department classified from CSVTU pharmacy listing category
"SANDIPANI INSTITUTE OF PHARMACY,DURG",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 215) | Department classified from CSVTU pharmacy listing category
"INSTITUTE OF TECHNOLOGY AND SCIENCES, GARIYABAND",Chhattisgarh,Gariaband,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 216)
"MENNONITE CHRISTIAN PHARMACY COLLEGE, DHAMTARI",Chhattisgarh,Dhamtari,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 217) | Department classified from CSVTU pharmacy listing category
"SURYA COLLEGE OF PHARMACY, JANJGIR CHAMPA",Chhattisgarh,Janjgir – Champa,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 218) | Department classified from CSVTU pharmacy listing category
"S R PHARMACY COLLEGE,DURG",Chhattisgarh,Durg,college,shallow-categorized,Pharmacy,B.Pharm / D.Pharm program — single-purpose pharmacy college; detailed faculty research pages not typically published for institutions of this scale,Verified — CSVTU official affiliated institutes list (Code 219) | Department classified from CSVTU pharmacy listing category
University Teaching Department (CSVTU),Chhattisgarh,Durg,university,shallow,,,Verified — CSVTU official affiliated institutes list (Code 000)
"J K Institute of Engineering,Bilaspur",Chhattisgarh,Bilaspur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 024)
Government Polytechnic - Bilaspur,Chhattisgarh,Bilaspur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 028) | Department classified from CSVTU polytechnic listing category
Late Karuna Shukla Government Polytechnic College - Balodabazar,Chhattisgarh,Balodabazar,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 038) | Department classified from CSVTU polytechnic listing category
Government Polytechnic - Bhatapara,Chhattisgarh,Balodabazar,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 040) | Department classified from CSVTU polytechnic listing category
Government Co-Ed Polytechnic - Raipur,Chhattisgarh,Raipur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 045) | Department classified from CSVTU polytechnic listing category
Government Co-Ed Polytechnic - Jagdalpur,Chhattisgarh,Bastar,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 047) | Department classified from CSVTU polytechnic listing category
Dharmu Mahara Government Girls Polytechnic - Jagdalpur,Chhattisgarh,Bastar,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 051) | Department classified from CSVTU polytechnic listing category
Government Girls Polytechnic - Raipur,Chhattisgarh,Raipur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 052) | Department classified from CSVTU polytechnic listing category
Bhopal Rao Pawar Govt. Polytechnic-Dhamtari,Chhattisgarh,Dhamtari,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 054) | Department classified from CSVTU polytechnic listing category
Uday Prasad Uday Government Polytechnic - Durg,Chhattisgarh,Durg,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 055) | Department classified from CSVTU polytechnic listing category
Chhattisgarh Institute of Technology - Raigarh,Chhattisgarh,Raigarh,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 056)
Government Polytechnic - Ambikapur,Chhattisgarh,Surguja,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 058) | Department classified from CSVTU polytechnic listing category
Chhattisgarh Institute of Technology Kabirdham,Chhattisgarh,Kawardha,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 067)
"Bilaspur College of Polytechnic, Bilaspur",Chhattisgarh,Bilaspur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 094) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Chirmiri",Chhattisgarh,Koriya,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 199) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Bagicha Jashpur",Chhattisgarh,Jashpur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 200) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Marwahi",Chhattisgarh,Bilaspur,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 201) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Pathariya",Chhattisgarh,Mungeli,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 202) | Department classified from CSVTU polytechnic listing category
"Government Polytechnic, Thaankhamariya",Chhattisgarh,Bemetara,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 203) | Department classified from CSVTU polytechnic listing category
Rungta College of Engineering & Technology - Bhilai,Chhattisgarh,Durg,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 013)
Minimata Government Polytechnic - Rajnandgaon,Chhattisgarh,Rajnandgaon,technical_institute,shallow-categorized,Diploma Engineering,"Polytechnic-level diploma programs (typically Civil/Mechanical/Electrical/Electronics trades) — specific trades vary by institution, not individually verified",Verified — CSVTU official affiliated institutes list (Code 053) | Department classified from CSVTU polytechnic listing category
"Chhattisgarh Institute of Technology, Jashpur",Chhattisgarh,Jashpur,technical_institute,shallow,,,Verified — CSVTU official affiliated institutes list (Code 210)
IIT (ISM) Dhanbad,Jharkhand,Dhanbad,technical_institute,deep,Computer Science & Engineering,"Research covers AI/data science, machine learning, software systems and related computing areas; the department also has an Executive M.Tech in AI & Data Science.",https://www.iitsystem.ac.in/departments
NIT Jamshedpur,Jharkhand,East Singhbhum,technical_institute,deep,Civil Engineering,"Faculty research includes structural health monitoring, seismic design, geotechnical engineering, water resources, flood forecasting and smart/ML-assisted structural analysis.",https://nitjsr.ac.in/departments/civil
"BIT Mesra, Ranchi",Jharkhand,Ranchi,college,deep,Computer Science & Engineering,"Faculty work spans machine learning, AI for healthcare, medical-image analysis, LLMs, geospatial analytics, databases, web development, cloud computing and cybersecurity.",https://bitmesra.ac.in/edudepartment/content/5/82/513
Central University of Jharkhand,Jharkhand,Ranchi,university,deep,Geoinformatics,"The university has dedicated Geoinformatics, Geography, Geology, Civil Engineering, CSE and Environmental Sciences departments, creating scope for GIS, spatial analysis and interdisciplinary societal-problem work.",https://www.cuj.ac.in/department.php
IIIT Ranchi,Jharkhand,Ranchi,technical_institute,deep,CSE / AI & ML,"Research cells cover Machine Learning & AI, Data Science & Bioinformatics, Sensors & IoT, VLSI/Embedded Systems and Advanced Communication; priorities also include ML, big data, cloud, distributed systems and security.",https://iiitranchi.ac.in/docs/rti/2022_23_english.pdf
"XISS, Ranchi",Jharkhand,Ranchi,college,deep,Research & Planning,"The Research & Planning department undertakes research and surveys for government, semi-government agencies, industry and voluntary organisations. It also works with GIS/Remote Sensing and people-oriented development/rehabilitation studies.",https://xiss.ac.in/index.php/career-research-supervisor-and-research-assistant
Birsa Agricultural University,Jharkhand,Ranchi,university,deep,Agricultural Engineering,"Work includes farm machinery, water harvesting, plasticulture, post-harvest engineering, energy in agriculture and agro-industries, with an emphasis on efficient use of water, fertilizer, energy and farm resources.",https://bauranchi.org/faculties-faculty-of-agriculture-ranchi/
IIT Patna,Bihar,Patna,technical_institute,deep,Computer Science & Engineering,"Research includes Generative AI, NLP, machine learning/deep learning, blockchain, IoT, cloud/edge/fog computing, computer vision, social networks and quantum computing.",https://www.iitp.ac.in/?id=42%3Acomputer-science-and-engineering&option=com_content&view=article
IIIT Bhagalpur,Bihar,Bhagalpur,technical_institute,deep,Computer Science & Engineering,"Faculty interests include graph algorithms, blockchain, databases, crowdsourcing, speech processing, biomedical image processing, explainable AI and multimedia/security forensics.",https://www.iiitbh.ac.in/faccse
IIT Bhubaneswar,Odisha,Khordha,technical_institute,deep,Computer Science & Engineering,"CSE research spans algorithms, optimization, data structures, machine learning/data analytics, cloud computing, networks/cybersecurity, IoT, NLP and multimedia systems.",https://secs.iitbbs.ac.in/index.php/broad-research-areas-ph-d-and-ms-r-admission/
NIT Rourkela,Odisha,Sundargarh,technical_institute,deep,Earth & Atmospheric Sciences,"Research groups include climate dynamics and modelling, mesoscale meteorology, geochemistry, petrology, ore/exploration geology and structure/tectonics—useful for environmental and climate-related challenges.",https://www.nitrkl.ac.in/ER/ResearchGroup/
IIT Kharagpur,West Bengal,Paschim Medinipur,technical_institute,deep,Computer Science & Engineering,"Research spans AI/ML, data and web mining, computer vision, NLP, cybersecurity, systems/networking, software engineering and theoretical computer science.",https://cse.iitkgp.ac.in/rsday/about.html
Jadavpur University,West Bengal,Kolkata,university,deep,Computer Science & Engineering,"The department identifies AI, machine learning, IoT and NLP as major research areas, covering intelligent systems, data-driven learning, connected devices and language technologies.",https://cse.jadavpuruniversity.in/research
National Institute of Technology Raipur,Chhattisgarh,Raipur,technical_institute,deep,Computer Science & Engineering,"Active research includes AI, data science, network security/modern cryptography, cloud computing, blockchain, wireless networks and biomedical data processing; projects also include responsible AI and animal tracking.",https://www.nitrr.ac.in/aboutcse.php
IIT Indore,Madhya Pradesh,Indore,technical_institute,deep,Computer Science & Engineering,"Faculty research includes algorithms, theoretical CS, machine learning, NLP, cybersecurity, IoT, biometrics, game theory, VLSI, edge-cloud systems and computational/health informatics.",https://ir.iiti.ac.in/department-and-centre-details-
IIT (ISM) Dhanbad,Jharkhand,Dhanbad,technical_institute,deep,Mining Engineering,"Faculty research focuses on mine ventilation, underground subsurface environments, spontaneous combustion of coal, mine planning and design, rock mechanics, and advanced clean coal technologies. The department integrates automation and sustainable environmental safety engineering into active industrial extraction processes.",https://www.iitism.ac.in/department-of-mining-engineering
"BIT Mesra, Ranchi",Jharkhand,Ranchi,college,deep,Space Engineering & Rocketry,"Research centers around hybrid rocket propulsion systems, high regression rate fuels, droplet combustion, and supersonic flow field aerodynamics. Faculty explicitly investigate computational fluid dynamics (CFD) for reusable launch vehicles and air intake systems.",https://bitmesra.ac.in/edudepartment/1/167
NIT Jamshedpur,Jharkhand,East Singhbhum,technical_institute,deep,Metallurgical & Materials Engineering,"Faculty specialize in physical, hydro, and process metallurgy, alongside mineral characterization and industrial beneficiation. Research actively focuses on iron and steel technology, nano-materials, and developing advanced foundry technologies.",https://www.nitjsr.ac.in/departments/meta
BIT Sindri,Jharkhand,Dhanbad,college,deep,Chemical Engineering,"The department drives R&D in chemical plant design, petroleum refinery engineering, unit operations, and advanced process control. Faculty prioritize collaborative research with CSIR-CIMFR on clean energy materials and thermodynamics.",https://www.bitsindri.ac.in/chemical-engineering/
NIFFT Ranchi,Jharkhand,Ranchi,college,deep,Manufacturing Engineering,"Faculty target innovations in advanced foundry technology, manufacturing automation, forge engineering, and sustainable materials processing. Research explores structural metallurgy, defect analysis in castings, and smart manufacturing systems.",https://niamt.ac.in
